Event	ID	Name			Wwise Object Path	Notes
	895718239	Play_Transition			\Default Work Unit\Play_Transition	
	1033885944	Click_Other			\Default Work Unit\Click_Other	
	1221751492	Human_Explosion			\Default Work Unit\Human_Explosion	
	1706939946	Cutscene_audio			\Default Work Unit\Cutscene_audio	
	2747536169	Open_Menu			\Default Work Unit\Open_Menu	
	2867641175	Menu_Option_Open			\Default Work Unit\Menu_Option_Open	
	2932040671	Play_Music			\Default Work Unit\Play_Music	
	2996780470	Click_Start			\Default Work Unit\Click_Start	
	3126511263	VirusTap			\Default Work Unit\VirusTap	
	3213995980	Machine_Explosion			\Default Work Unit\Machine_Explosion	
	3654422659	Play_Dance			\Default Work Unit\Play_Dance	
	3663096569	Human_Contraction			\Default Work Unit\Human_Contraction	
	3862065186	Menu_Option_Back			\Default Work Unit\Menu_Option_Back	

State Group	ID	Name			Wwise Object Path	Notes
	2470328564	Intensity			\Default Work Unit\Intensity	

State	ID	Name	State Group			Notes
	670602561	Soft	Intensity			
	748895195	None	Intensity			
	1924791374	Dance	Intensity			
	2607556080	Menu	Intensity			
	3599861390	Hard	Intensity			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2970210140	Ambient_Fade			\Default Work Unit\Ambient_Fade	
	3710358763	Dance_Fade			\Default Work Unit\Dance_Fade	

Trigger	ID	Name			Wwise Object Path	Notes
	724142543	ScreenTapped			\Default Work Unit\ScreenTapped	

Effect plug-ins	ID	Name	Type				Notes
	59662939	Dialog_Too_Quiet	Wwise Compressor			
	468882879	Wwise Parametric EQ (Custom)	Wwise Parametric EQ			
	1990128658	Room_Medium	Wwise RoomVerb			
	2652646462	Dialog_Leveler_Soft	Wwise Compressor			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1105394	TerminalTransmissionUI_Back	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\TerminalTransmissionUI_Back_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\TerminalTransmissionUI_Back		176464
	16967664	Vox_Scream_Male_3	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\Vox_Scream_Male_3_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_Contraction\Scream\Vox_Scream_Male_3		132540
	19248964	FX_Electricity_Glitch	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\FX_Electricity_Glitch_88149D53.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_Contraction\Glitch\FX_Electricity_Glitch		48132
	150507278	FX_Electricity_Glitch_2	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\FX_Electricity_Glitch_2_1BFCB0FB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_Contraction\Glitch\FX_Electricity_Glitch_2		42340
	169179554	Vox_Scream_Male_2	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\Vox_Scream_Male_2_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_Contraction\Scream\Vox_Scream_Male_2		132540
	199326064	Fx_Infection_Trigger_3	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\Fx_Infection_Trigger_3_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Fx_Infection_Trigger_3		435904
	203821308	Music_Pulse	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\Music_Pulse_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Soft\SoftElements\Music_Pulse		4096064
	211892836	Amb_Cutscene_1	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\Amb_Cutscene_1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Amb_Cutscene_1		3068224
	279186119	FX_Electricity_Spark_1	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\FX_Electricity_Spark_1_6B493127.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_Contraction\Spark\FX_Electricity_Spark_1		61452
	375130664	FX_Electricity_Spark_2	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\FX_Electricity_Spark_2_A42C6024.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_Contraction\Spark\FX_Electricity_Spark_2		61452
	413381470	FX_UI_Open_1	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\FX_UI_Open_1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\FX_UI_Open_1		192064
	473504590	TTx_Evolution_StringsArp	C:\Users\1502419\Downloads\JACKTT\New Unity Project\New Unity Project_WwiseProject\.cache\Android\SFX\TTx_Evolution_StringsArp_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Hard\Hard Elements\TTx_Evolution_StringsArp		4096064
